전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 1/1219      2024-02-22 15:51:58     2.29    2024-02-22 16:38:27
processing data ... 2/1219      2024-02-22 15:51:59     1.02    2024-02-22 16:12:41
processing data ... 3/1219      2024-02-22 15:52:01     1.55    2024-02-22 16:23:25
processing data ... 4/1219      2024-02-22 15:52:02     1.51    2024-02-22 16:22:39
processing data ... 5/1219      2024-02-22 15:52:04     1.48    2024-02-22 16:21:55
processing data ... 6/1219      2024-02-22 15:52:06     1.81    2024-02-22 16:28:38
processing data ... 7/1219      2024-02-22 15:52:07     1.41    2024-02-22 16:20:37
processing data ... 8/1219      2024-02-22 15:52:08     1.02    2024-02-22 16:12:40
processing data ... 9/1219      2024-02-22 15:52:10     2.02    2024-02-22 16:32:50
processing data ... 10/1219     2024-02-22 15:52:11     1.18    2024-02-22 16:16:01
processing data ... 11/1219     2024-02-22 15:52:13     1.37    2024-02-22 16:19:44
processing data ... 12/1219     2024-02-22 15:52:14     1.08    2024-02-22 16:13:55
processing data ... 13/1219     2024-02-22 15:52:17     3.65    2024-02-22 17:05:42
processing data ... 14/1219     2024-02-22 15:52:19     1.46    2024-02-22 16:21:40
processing data ... 15/1219     2024-02-22 15:52:20     1.44    2024-02-22 16:21:11
processing data ... 16/1219     2024-02-22 15:52:22     1.39    2024-02-22 16:20:13
processing data ... 17/1219     2024-02-22 15:52:24     2.27    2024-02-22 16:37:57
processing data ... 18/1219     2024-02-22 15:52:25     1.37    2024-02-22 16:19:53
processing data ... 19/1219     2024-02-22 15:52:27     1.81    2024-02-22 16:28:43
processing data ... 20/1219     2024-02-22 15:52:30     2.85    2024-02-22 16:49:27
processing data ... 21/1219     2024-02-22 15:52:32     1.56    2024-02-22 16:23:44
processing data ... 22/1219     2024-02-22 15:52:33     1.13    2024-02-22 16:15:05
processing data ... 23/1219     2024-02-22 15:52:34     1.44    2024-02-22 16:21:22
processing data ... 24/1219     2024-02-22 15:52:35     1.12    2024-02-22 16:14:49
processing data ... 25/1219     2024-02-22 15:52:37     1.56    2024-02-22 16:23:43
processing data ... 26/1219     2024-02-22 15:52:38     1.6     2024-02-22 16:24:32
processing data ... 27/1219     2024-02-22 15:52:40     1.5     2024-02-22 16:22:33
processing data ... 28/1219     2024-02-22 15:52:42     1.95    2024-02-22 16:31:24
processing data ... 29/1219     2024-02-22 15:52:43     1.43    2024-02-22 16:21:00
processing data ... 30/1219     2024-02-22 15:52:45     1.43    2024-02-22 16:21:06
processing data ... 31/1219     2024-02-22 15:52:46     1.56    2024-02-22 16:23:37
processing data ... 32/1219     2024-02-22 15:52:47     1.05    2024-02-22 16:13:37
processing data ... 33/1219     2024-02-22 15:52:49     1.4     2024-02-22 16:20:29
processing data ... 34/1219     2024-02-22 15:52:50     1.03    2024-02-22 16:13:12
processing data ... 35/1219     2024-02-22 15:52:51     1.42    2024-02-22 16:20:53
processing data ... 36/1219     2024-02-22 15:52:53     1.41    2024-02-22 16:20:37
processing data ... 37/1219     2024-02-22 15:52:54     1.52    2024-02-22 16:22:46
processing data ... 38/1219     2024-02-22 15:52:55     1.39    2024-02-22 16:20:13
